date_mfg,rp_code,product_name,category,batch_number,volume_kg,organoleptic_fact,density_fact,viscosity_fact,viscosity_unit,ph_min,ph_max,ph_fact,colloid_norm,colloid_fact,thermo_norm,thermo_fact,micro_norm,micro_fact,operator,arbitrary_samples,verdict,notes
16/04/2026,RP114,Крем для рук,Крем,240416-01,"50,00",відповідає,,,cP,"5,0","8,5","6,2",стабільний,стабільний,стабільний,стабільний,відповідає,відповідає,ПІБ,+,OK,Приклад рядка
01/08/2024,,Спрей для стимуляціі росту волосся,,08/24,"15,00",відповідає,,Н/З,,"5,0","5,5","5,4",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
01/08/2024,RP106,"Дезодорант кульковий, RP106 вишня",,08/24,"10,00",відповідає,,Н/З,,,,,стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
01/08/2024,RP106,"Дезодорант кульковий, RP106 мохіто",,08/24,"10,00",відповідає,,Н/З,,,,,стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
02/08/2024,L217,"Крем Hydra з гіалуроном та скваланом, зволожуючий, 50 мл L217",,08/24,"4,96",відповідає,,Н/З,,"5,0","6,0","5,7",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
02/08/2024,RP060,"Маска для волосся кераміди і шовк (зелена), RP060",,08/24,"8,95",відповідає,,Н/З,,"5,0","6,0","5,8",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
02/08/2024,,Скраб Лаванда,,08/24,"15,00",відповідає,,Н/З,,,,,стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
02/08/2024,RP022,"Крем-термозахист, RP022",,08/24,"10,00",відповідає,,Н/З,,"4,5",6,"5,3",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
08/08/2024,RP064,"Кондиціонер для волосся чорний, RP064",,08/24,"38,20",відповідає,,Н/З,,"5,0","6,0","5,7",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
08/08/2024,RP061,"Бальзам-кондиціонер з пребіотиком, RP061",,08/24,"38,00",відповідає,,Н/З,,"5,0","6,0","5,2",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
08/08/2024,RP001,"Шампунь Anti-Dundruff, RP001",,08/24,"20,00",відповідає,,Н/З,,"5,0","6,0","5,8",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
08/08/2024,RP014,"Шампунь Avocado + Collagen, RP014",,08/24,"10,00",відповідає,,Н/З,,"5,0","6,5","5,5",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
09/08/2024,,Крем для рук,,28/08/2024,"10,80",відповідає,,Н/З,,"5,0","8,5","6,7",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
19/08/2024,RP024,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024",,23/08/2024,"80,40",відповідає,,Н/З,,"5,0","6,0","5,3",стабільний,стабільний,стабільний,стабільний,Н/З,Н/З,Санмарі А. П. Мовчан О. М.,+,OK,
