date_filling,batch_number_gp,date_bulk_prepared,batch_number_bulk,date_aroma_added,trademark_name,label_name,quantity_units,volume,notes,packaging_type,allowed_for_shipment
11/4/2024,04/11/24,10/21/2024,,,Пухтенко,Гель Ред Крістал,,,,1,дозволено
,04/11/24,11/4/2024,,,Пухтенко,Скраб Флер наркотик,,,,2,дозволено
,04/11/24,10/22/2024,,,Азаренко,Батер 1002273,,,,3,дозволено
11/5/2024,05/11/24,10/21/2024,,,Crumb,Гель (новий),,,,4,дозволено
11/6/2024,06/11/24,10/29/2024,,,Переломова,Спрей для стимуляції росту волосся,,,,,дозволено
,06/11/24,11/6/2024,,,Сискай,Бомба для ванни вері-бері,,,,,дозволено
,06/11/24,11/5/2024,,,Пухтенко,Крем-суфле Ред Крістал,,,,5,дозволено
,06/11/24,11/5/2024,,,Пухтенко,Крем-суфле Флер наркотик,,,,6,дозволено
11/13/2024,13/11/24,10/21/2024,,,Литвиненко,Гель кокос маршмелоу,,,,,дозволено
,13/11/25,10/21/2024,,,Литвиненко,Гель лимон капкейк,,,,,дозволено
11/14/2024,11/24(1),10/10/2024,,,MLN006,"MASK HAIR BALANCE, маска відновлююча, RP059",,,,"Банка PP 250 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
,11/24(1),10/10/2024,,,MLN007,"MASK HAIR RESCUE, маска інтенсивна, RP060",,,,"Банка PP 250 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
,14/11/24,11/5/2024,,,Нестайко,Крем-суфле Флер наркотик silk care,,,,,дозволено
,14/11/24,11/5/2024,,,Нестайко,Крем-суфле скандалія touch care,,,,,дозволено
,14/11/24,11/5/2024,,,Нестайко,Крем-суфле рамбутан soft care,,,,,дозволено
,11/24(1),11/14/2024,,,ПРАХТ,Сухий шампунь Мохіто,,,,9,дозволено
,11/24(1),11/14/2024,,,ПРАХТ,Пілінг з кислотами для шкіри голови Oila RP019,,,,10,дозволено
11/18/2024,11/24(1),11/15/2024,,,MLN054,"Rosemary Tonic 100 ml, RP062",,,,"Флакон HDPE білий 100 мл, кришка РР біла Д24",дозволено
,11/24(1),10/10/2024,,,MLN026,"tester 50 ml MASK HAIR RESCUE, зелена етикетка",,,,"Банка PP 50 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
,11/24(1),11/13/2024,,,MLN025,"tester 50 ml MASK HAIR BALANCE, біла етикетка",,,,"Банка PP 50 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
11/19/2024,11/24(1),11/15/2024,,,L247,"Крем для шкіри навколо очей Day, 15 мл",,,,14,дозволено
,11/24(1),10/15/2024,,,MLN053,"Крем термозахист для волосся, MELONI HAIR CREAM THERMAL PROTECTION, 100 ML RP022",,,,"Ламінатна туба 100 мл та бушони полімерні (Ламінарна плівка типа ABL або PBL, поліпропілен (PP))",дозволено
,19/11/24,11/18/2024,,,MLN001,"SHAMPOO XTREME REPAIR шампунь, чорна етикетка, RP002",,,,"флакон HDPE чорний 450мл, кришка (фліп-топ) РР чорна 24/410",дозволено
,19/11/24,11/13/2024,,,MLN006,"MASK HAIR BALANCE, маска відновлююча, біла етикетка, RP059",,,,"Банка PP 250 мл біла, вкладиш прозорий PP, кришка РР біла 24/410",дозволено
,19/11/24,11/13/2024,,,MLN005,"CONDITIONER XTREME REPAIR, кондиціонер , чорна етикетка, RP064",,,,"флакон HDPE чорний 450мл, помпа (PP, LDPE, HDPE, STN STL, GLASS) чорна 24/410",дозволено
,11/24(1),11/19/2024,,,ПРАХТ,"Есенція усьми для шкіри голови + 6 трав Oila, RP109",,,,19,дозволено
,19/11/24,10/21/2024,,,Crumb,"Гель для душу Chery and Santal, RP032",,,,20,дозволено
,19/11/24,10/21/2024,,,Crumb,"Гель для душу Sea Salt and White Masc, RP032",,,,21,дозволено
